"","Y_house_price_of_unit_area","X1_transaction_date","X1_transaction_year","X2_transaction_month","X3_house_age","X4_distance_to_the_nearest_MRT_station","X5_number_of_convenience_stores","X6_latitude","X7_longitude"
"1",39.7,2013.25,"2013","03",37.8,590.9292,1,24.97153,121.53559
"2",42.1,2012.75,"2012","09",15.9,289.3248,5,24.98203,121.54348
"3",53.3,2012.6666667,"2012","08",30.6,143.8383,8,24.98155,121.54142
"4",39.5,2012.8333333,"2012","10",18,373.3937,8,24.9866,121.54082
"5",14.7,2012.8333333,"2012","10",16.2,4074.736,0,24.94235,121.50357
"6",42.3,2013,"2012","12",13.2,492.2313,5,24.96515,121.53737
"7",50.5,2013.5833333,"2013","07",35.7,579.2083,2,24.9824,121.54619
"8",40.2,2012.9166667,"2012","11",32.4,265.0609,8,24.98059,121.53986
"9",33.1,2013,"2012","12",12.9,187.4823,1,24.97388,121.52981
"10",52.2,2013.5,"2013","06",5.2,390.5684,5,24.97937,121.54245
"11",51,2013.4166667,"2013","05",16.4,289.3248,5,24.98203,121.54348
"12",40.6,2013.0833333,"2013","01",12.8,732.8528,0,24.97668,121.52518
"13",41.5,2013,"2012","12",33.9,157.6052,7,24.96628,121.54196
"14",29.4,2013.4166667,"2013","05",20,1626.083,3,24.96622,121.51668
"15",55.3,2013.1666667,"2013","02",30.1,718.2937,3,24.97509,121.53644
"16",50.2,2013.5,"2013","06",14.4,169.9803,1,24.97369,121.52979
"17",58.1,2013.5833333,"2013","07",6.6,90.45606,9,24.97433,121.5431
"18",47.4,2013.5,"2013","06",13.6,319.0708,6,24.96495,121.54277
"19",48.2,2013.4166667,"2013","05",32.8,204.1705,8,24.98236,121.53923
"20",30.5,2013.4166667,"2013","05",14.7,1717.193,2,24.96447,121.51649
"21",12.8,2013.0833333,"2013","01",32,1156.777,0,24.94935,121.53046
"22",49,2013.25,"2013","03",1.1,193.5845,6,24.96571,121.54089
"23",46.1,2013.1666667,"2013","02",33.2,121.7262,10,24.98178,121.54059
"24",34.1,2012.75,"2012","09",34.4,512.7871,6,24.98748,121.54301
"25",51.4,2013.25,"2013","03",16.2,289.3248,5,24.98203,121.54348
"26",29.8,2012.9166667,"2012","11",38.2,552.4371,2,24.97598,121.53381
"27",27,2012.8333333,"2012","10",1.8,1455.798,1,24.9512,121.549
"28",23.7,2013.25,"2013","03",17.8,1783.18,3,24.96731,121.51486
"29",24.7,2012.8333333,"2012","10",10.3,3079.89,0,24.9546,121.56627
"30",21.8,2013.1666667,"2013","02",18.2,2179.59,3,24.96299,121.51252
